date,open,high,low,close,volume,turnover,prev_close,true_range,atr14_sma,day_return,gap,range_atr,volume_ratio_20,close_location,ma10,price_vs_ma10,above_ma10,ma10_slope,ma10_slope_atr,ma20,price_vs_ma20,above_ma20,ma20_slope,ma20_slope_atr,ma60,price_vs_ma60,above_ma60,ma60_slope,ma60_slope_atr,ma250,price_vs_ma250,above_ma250,ma250_slope,ma250_slope_atr,prior20_high,breakout_20,breakout_distance_20_atr,prior40_high,breakout_40,breakout_distance_40_atr,prior60_high,breakout_60,breakout_distance_60_atr,distance_ma250_atr,breakout_signature,breakout_reference_field,breakout_reference,t1_close_return,t1_mfe,t1_mae,t3_close_return,t3_mfe,t3_mae,t5_close_return,t5_mfe,t5_mae,t10_close_return,t10_mfe,t10_mae,t1_open_gap,false_break_price_1d,false_break_close_1d,false_break_price_3d,false_break_close_3d,false_break_price_5d,false_break_close_5d,segment,similarity_distance,target_feature_differences,similarity_rank
2023-11-30,26.5500000000,28.1500000000,26.5100000000,27.6400000000,850249,2347091675.0000000000,26.4400000000,1.7100000000,0.6542857143,0.0453857791,0.0041603631,2.5065502183,2.5985315262,0.6890243902,26.3310000000,0.0497132657,1,0.1760000000,0.2689956332,26.1185000000,0.0582537282,1,0.1035000000,0.1581877729,26.8160000000,0.0307279236,1,-0.0250000000,-0.0382096070,26.5784800000,0.0399390785,1,0.0104800000,0.0160174672,26.8500000000,1,1.2074235808,28.7500000000,0,-1.6965065502,29.3000000000,0,-2.5371179039,1.6224104803,100,prior20_high,26.8500000000,-0.0021707670,0.0021707670,-0.0130246020,-0.0079594790,0.0231548480,-0.0130246020,0.0126628075,0.0231548480,-0.0130246020,0.0343704776,0.0600578871,-0.0246020260,-0.0083212735,0,0,0,0,0,0,CALIBRATION,7.2800217664,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":0.0,""above_ma60"":0.0,""breakout_distance_20_atr"":-0.954266149731088,""breakout_distance_40_atr"":-0.8909712261105481,""breakout_distance_60_atr"":-1.7315825798223399,""close_location"":-0.22482176360225048,""day_return"":-0.046397437660675056,""distance_ma250_atr"":-0.5097905393156175,""ma10_slope_atr"":-0.11745738939052297,""ma20_slope_atr"":0.024611662219287844,""ma250_slope_atr"":0.015854320854147563,""ma60_slope_atr"":-0.08953274367056507,""range_atr"":-0.8073609251408205,""volume_ratio_20"":-2.1645828450256066}",1
2024-09-30,39.6000000000,42.0800000000,38.8000000000,41.7700000000,1308294,5306562207.0000000000,38.3900000000,3.6900000000,1.8350000000,0.0880437614,0.0315186246,1.7874659401,2.8063126988,0.9054878049,36.6450000000,0.1398553691,1,0.3010000000,0.1640326975,37.7725000000,0.1058309617,1,0.1180000000,0.0643051771,39.4805000000,0.0579906536,1,0.0575000000,0.0313351499,33.5673600000,0.2443635722,1,0.0535200000,0.0291662125,39.7600000000,1,1.0953678474,43.6600000000,0,-1.0299727520,43.6600000000,0,-1.0299727520,4.4701035422,100,prior20_high,39.7600000000,0.0366291597,0.1000718219,-0.0064639694,0.0086186258,0.1000718219,-0.0406990663,-0.0260952837,0.1000718219,-0.0471630357,-0.0646396936,0.1000718219,-0.0969595403,0.1000718219,0,0,0,0,0,0,CALIBRATION,7.6972868173,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":0.0,""above_ma60"":0.0,""breakout_distance_20_atr"":-1.0663218831056667,""breakout_distance_40_atr"":-0.22443742793580046,""breakout_distance_60_atr"":-0.22443742793580046,""close_location"":-0.00835834896810328,""day_return"":-0.0037394553870195857,""distance_ma250_atr"":2.3379025225693675,""ma10_slope_atr"":-0.22242032503061243,""ma20_slope_atr"":-0.06927093359476465,""ma250_slope_atr"":0.029003066139306137,""ma60_slope_atr"":-0.019987986819903415,""range_atr"":-1.526445203426932,""volume_ratio_20"":-1.9568016723436967}",2
2026-04-23,36.5200000000,38.9100000000,36.5100000000,38.6000000000,2419553,9163705942.0000000000,36.4800000000,2.4300000000,1.0335714286,0.0581140351,0.0010964912,2.3220456116,3.1883375421,0.8708333333,34.3450000000,0.1238899403,1,0.6370000000,0.6163096061,32.7720000000,0.1778347370,1,0.3375000000,0.3265376641,34.5680000000,0.1166396667,1,0.0505000000,0.0488597097,34.0190400000,0.1346587088,1,0.0451200000,0.0436544575,36.6400000000,1,1.8963372495,39.4500000000,0,-0.8223911541,39.4500000000,0,-0.8223911541,4.4321658604,100,prior20_high,36.6400000000,0.0051813472,0.0155440415,-0.0152849741,0.0704663212,0.0873056995,-0.0152849741,0.0818652850,0.1248704663,-0.0152849741,0.0492227979,0.1248704663,-0.0152849741,0.0000000000,0,0,0,0,0,0,VALIDATION,7.8252205860,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":0.0,""above_ma60"":0.0,""breakout_distance_20_atr"":-0.2653524810354275,""breakout_distance_40_atr"":-0.01685583000416424,""breakout_distance_60_atr"":-0.01685583000416424,""close_location"":-0.043012820512818295,""day_return"":-0.03366918169549726,""distance_ma250_atr"":2.2999648407358584,""ma10_slope_atr"":0.22985658350325455,""ma20_slope_atr"":0.19296155342621119,""ma250_slope_atr"":0.04349131110351931,""ma60_slope_atr"":-0.00246342693937103,""range_atr"":-0.9918655318712029,""volume_ratio_20"":-1.5747768291072601}",3
2024-10-08,45.9500000000,45.9500000000,41.5000000000,43.3000000000,1512021,6625096629.0000000000,41.7700000000,4.4500000000,2.0828571429,0.0366291597,0.1000718219,2.1364883402,2.9121558090,0.4044943820,37.1380000000,0.1659216975,1,0.4930000000,0.2366941015,37.9775000000,0.1401487723,1,0.2050000000,0.0984224966,39.5648333333,0.0944062278,1,0.0843333333,0.0404892547,33.6248800000,0.2877369376,1,0.0575200000,0.0276159122,42.0800000000,1,0.5857338820,43.6600000000,0,-0.1728395062,43.6600000000,0,-0.1728395062,4.6451193416,100,prior20_high,42.0800000000,-0.0727482679,-0.0032332564,-0.0745958430,-0.0651270208,0.0184757506,-0.0808314088,-0.0893764434,0.0184757506,-0.0921478060,-0.0990762125,0.0184757506,-0.1288683603,-0.0184757506,1,1,1,1,1,1,CALIBRATION,7.9322439457,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":0.0,""above_ma60"":0.0,""breakout_distance_20_atr"":-1.5759558484869358,""breakout_distance_40_atr"":0.6326958179349531,""breakout_distance_60_atr"":0.6326958179349531,""close_location"":-0.5093517718236825,""day_return"":-0.055154057099233045,""distance_ma250_atr"":2.51291832189882,""ma10_slope_atr"":-0.14975892106937622,""ma20_slope_atr"":-0.03515361413583851,""ma250_slope_atr"":0.027452765813746127,""ma60_slope_atr"":-0.010833881996876668,""range_atr"":-1.177422803289383,""volume_ratio_20"":-1.8509585622292324}",4
2026-04-20,33.1200000000,35.4200000000,33.0900000000,35.2800000000,1796601,6198641799.0000000000,33.0300000000,2.3900000000,0.8671428571,0.0681198910,0.0027247956,2.6869851730,2.5471055117,0.9399141631,32.8680000000,0.0733844469,1,0.4770000000,0.5500823723,31.9300000000,0.1049170060,1,0.1065000000,0.1228171334,34.4888333333,0.0229397921,1,-0.0120000000,-0.0138385502,33.9270000000,0.0398797418,1,0.0186000000,0.0214497529,34.4100000000,1,1.0032948929,39.4500000000,0,-4.8088962109,39.4500000000,0,-4.8088962109,1.5602965404,100,prior20_high,34.4100000000,0.0294784580,0.0376984127,0.0045351474,0.0941043084,0.1028911565,0.0045351474,0.0887188209,0.1139455782,0.0045351474,0.1510770975,0.2307256236,0.0045351474,0.0045351474,0,0,0,0,0,0,VALIDATION,8.0741539721,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":0.0,""above_ma60"":0.0,""breakout_distance_20_atr"":-1.158394837601129,""breakout_distance_40_atr"":-4.003360886765352,""breakout_distance_60_atr"":-4.003360886765352,""close_location"":0.0260680092439749,""day_return"":-0.023663325775042265,""distance_ma250_atr"":-0.571904479302527,""ma10_slope_atr"":0.16362934974460996,""ma20_slope_atr"":-0.010758977263322964,""ma250_slope_atr"":0.021286606488273376,""ma60_slope_atr"":-0.0651616869307879,""range_atr"":-0.6269259704995545,""volume_ratio_20"":-2.2160088595333622}",5
2025-06-26,31.4100000000,32.3800000000,31.3600000000,31.6900000000,701785,2247123064.0000000000,31.5100000000,1.0200000000,0.5250000000,0.0057124722,-0.0031735957,1.9428571429,2.5781578195,0.3235294118,31.0850000000,0.0194627634,1,0.1200000000,0.2285714286,30.8895000000,0.0259149549,1,0.0540000000,0.1028571429,30.3586666667,0.0438534850,1,0.0066666667,0.0126984127,35.0703600000,-0.0963879470,0,-0.0232000000,-0.0441904762,31.5200000000,1,0.3238095238,33.2000000000,0,-2.8761904762,33.2000000000,0,-2.8761904762,-6.4387809524,100,prior20_high,31.5200000000,0.0041022405,0.0113600505,-0.0053644683,0.0517513411,0.0561691385,-0.0053644683,0.0495424424,0.0665825181,-0.0053644683,0.0217734301,0.0665825181,-0.0053644683,-0.0025244557,0,0,0,0,0,0,CALIBRATION,10.0730319361,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":-1.0,""above_ma60"":0.0,""breakout_distance_20_atr"":-1.8378802067075863,""breakout_distance_40_atr"":-2.0706551520826877,""breakout_distance_60_atr"":-2.0706551520826877,""close_location"":-0.5903167420814468,""day_return"":-0.08607074455217889,""distance_ma250_atr"":-8.570981972045919,""ma10_slope_atr"":-0.1578815940068562,""ma20_slope_atr"":-0.030718967849349132,""ma250_slope_atr"":-0.04435362258522504,""ma60_slope_atr"":-0.03862472398524078,""range_atr"":-1.3710540006242786,""volume_ratio_20"":-2.1849565517127294}",6
2026-04-21,35.4400000000,36.6100000000,35.4400000000,36.3200000000,1494088,5388907407.0000000000,35.2800000000,1.3300000000,0.8921428571,0.0294784580,0.0045351474,1.3114491593,2.0010717291,0.7521367521,33.3020000000,0.0906251877,1,0.4340000000,0.4864691753,32.1895000000,0.1283182404,1,0.2595000000,0.2908726982,34.5053333333,0.0525909038,1,0.0165000000,0.0184947958,33.9494000000,0.0698274491,1,0.0224000000,0.0251080865,35.4200000000,1,1.0088070456,39.4500000000,0,-3.5084067254,39.4500000000,0,-3.5084067254,2.6571977582,100,prior20_high,35.4200000000,0.0044052863,0.0088105727,-0.0115638767,0.0682819383,0.0792951542,-0.0115638767,0.1376651982,0.1555616740,-0.0115638767,0.1329845815,0.1954845815,-0.0115638767,-0.0088105727,0,0,0,0,0,0,VALIDATION,10.2283010309,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":0.0,""above_ma60"":0.0,""breakout_distance_20_atr"":-1.1528826848806066,""breakout_distance_40_atr"":-2.702871401272512,""breakout_distance_60_atr"":-2.702871401272512,""close_location"":-0.1617094017094003,""day_return"":-0.06230475873333008,""distance_ma250_atr"":0.5249967385415935,""ma10_slope_atr"":0.10001615276197556,""ma20_slope_atr"":0.15729658745203928,""ma250_slope_atr"":0.024944940074423445,""ma60_slope_atr"":-0.03282834084699221,""range_atr"":-2.0024619841539653,""volume_ratio_20"":-2.7620426420800204}",7
2025-06-30,32.1000000000,32.6600000000,32.1000000000,32.5400000000,607467,1973434852.0000000000,31.8200000000,0.8400000000,0.5457142857,0.0226272784,0.0087994972,1.0261780105,1.9711166244,0.7857142857,31.3460000000,0.0380909845,1,0.1560000000,0.2858638743,31.0365000000,0.0484429623,1,0.0935000000,0.1713350785,30.4100000000,0.0700427491,1,0.0340000000,0.0623036649,35.0280400000,-0.0710299520,0,-0.0210400000,-0.0385549738,32.3800000000,1,0.2931937173,33.2000000000,0,-1.2094240838,33.2000000000,0,-1.2094240838,-4.5592356021,100,prior20_high,32.3800000000,0.0242778119,0.0285802090,-0.0067609096,0.0221266134,0.0387215734,-0.0067609096,0.0202827289,0.0387215734,-0.0067609096,0.0365703749,0.0857406269,-0.0067609096,0.0015365704,1,0,1,0,1,0,CALIBRATION,10.7147334981,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":-1.0,""above_ma60"":0.0,""breakout_distance_20_atr"":-1.8684960132396324,""breakout_distance_40_atr"":-0.4038887596618489,""breakout_distance_60_atr"":-0.4038887596618489,""close_location"":-0.12813186813186506,""day_return"":-0.06915593834198486,""distance_ma250_atr"":-6.69143662175922,""ma10_slope_atr"":-0.10058914823274573,""ma20_slope_atr"":0.03775896782754698,""ma250_slope_atr"":-0.03871812021674532,""ma60_slope_atr"":0.010980528237808325,""range_atr"":-2.287733133010232,""volume_ratio_20"":-2.791997746778371}",8
2023-11-20,25.6500000000,26.7500000000,25.6300000000,26.6500000000,610157,1604571427.0000000000,25.7100000000,1.1200000000,0.4978571429,0.0365616492,-0.0023337223,2.2496413199,1.9092267963,0.9107142857,25.9300000000,0.0277670652,1,0.0480000000,0.0964131994,25.8260000000,0.0319058313,1,0.0730000000,0.1466284075,27.1065000000,-0.0168409791,0,-0.0251666667,-0.0505499761,26.5377200000,0.0042309588,1,0.0030400000,0.0061061693,26.2800000000,1,0.7431850789,28.8200000000,0,-4.3586800574,29.8300000000,0,-6.3873744620,0.2255265423,100,prior20_high,26.2800000000,-0.0101313321,0.0075046904,-0.0116322702,-0.0127579737,0.0075046904,-0.0251407129,-0.0243902439,0.0075046904,-0.0439024390,0.0487804878,0.0611632270,-0.0439024390,0.0075046904,0,0,1,1,1,1,CALIBRATION,11.2604709306,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":0.0,""above_ma60"":-1.0,""breakout_distance_20_atr"":-1.4185046516075062,""breakout_distance_40_atr"":-3.553144733281018,""breakout_distance_60_atr"":-5.581839137872119,""close_location"":-0.0031318681318690533,""day_return"":-0.05522156761946717,""distance_ma250_atr"":-1.906674477340722,""ma10_slope_atr"":-0.29003982315217797,""ma20_slope_atr"":0.013052296754070686,""ma250_slope_atr"":0.005943022902227195,""ma60_slope_atr"":-0.1018731127716595,""range_atr"":-1.0642698235388157,""volume_ratio_20"":-2.853887574917994}",9
2025-06-25,30.9600000000,31.5200000000,30.8900000000,31.5100000000,485523,1522621803.0000000000,30.9600000000,0.6300000000,0.4721428571,0.0177648579,0.0000000000,1.3343419062,1.8901524995,0.9841269841,30.9650000000,0.0176005167,1,0.0900000000,0.1906202723,30.8355000000,0.0218741386,1,0.0320000000,0.0677760968,30.3520000000,0.0381523458,1,-0.0016666667,-0.0035300050,35.0935600000,-0.1021144620,0,-0.0167600000,-0.0354977307,31.4000000000,1,0.2329803328,33.2000000000,0,-3.5794251135,33.2000000000,0,-3.5794251135,-7.5899909228,100,prior20_high,31.4000000000,0.0057124722,0.0276102825,-0.0047603935,0.0326880355,0.0364963504,-0.0047603935,0.0482386544,0.0726753412,-0.0047603935,0.0320533164,0.0726753412,-0.0047603935,-0.0031735957,1,0,1,0,1,0,CALIBRATION,11.5720293788,"{""above_ma10"":0.0,""above_ma20"":0.0,""above_ma250"":-1.0,""above_ma60"":0.0,""breakout_distance_20_atr"":-1.9287093976880598,""breakout_distance_40_atr"":-2.7738897893566623,""breakout_distance_60_atr"":-2.7738897893566623,""close_location"":0.07028083028083376,""day_return"":-0.07401835890207975,""distance_ma250_atr"":-9.72219194250914,""ma10_slope_atr"":-0.19583275026362637,""ma20_slope_atr"":-0.0658000138834868,""ma250_slope_atr"":-0.03566087710581157,""ma60_slope_atr"":-0.05485314172653089,""range_atr"":-1.9795692372787055,""volume_ratio_20"":-2.872961871719618}",10
